Time_h,Tech_rep,Bio_rep,Donor_OD,Recipient_OD,Transconjugant_OD
21.72972973,3,1,0.548225613,0.33309639,0.297112762
22.05405405,3,1,0.551190675,0.33917122,0.300526869
22.37837838,3,1,0.555839992,0.342911028,0.302631756
22.7027027,3,1,0.560165542,0.347764608,0.309191332
23.02702703,3,1,0.564633314,0.352501255,0.307848943
23.35135135,3,1,0.570959117,0.356199251,0.31030363
23.67567568,3,1,0.572921599,0.361484229,0.312683944
24,3,1,0.57782999,0.364746929,0.31473869
0,4,1,0.015584583,0.017231475,0.006717665
0.324324324,4,1,0.017103011,0.01499022,0.010053093
0.648648649,4,1,0.023663683,0.023711984,0.010842408
0.972972973,4,1,0.040680245,0.032786768,0.013208539
1.297297297,4,1,0.056467861,0.047926094,0.026388971
1.621621622,4,1,0.08538362,0.071640059,0.043020935
1.945945946,4,1,0.108782541,0.092107243,0.06229166
2.27027027,4,1,0.130265279,0.108017543,0.083287098
2.594594595,4,1,0.139669811,0.120196967,0.093983233
2.918918919,4,1,0.138099728,0.12292378,0.10704644
3.243243243,4,1,0.140532905,0.128396237,0.111805864
3.567567568,4,1,0.142604041,0.131924549,0.116236942
3.891891892,4,1,0.146295147,0.137607682,0.11820852
4.216216216,4,1,0.150783612,0.137073425,0.11637425
4.540540541,4,1,0.152716394,0.13776361,0.121902841
4.864864865,4,1,0.156681435,0.140197208,0.123020346
5.189189189,4,1,0.160577508,0.142027339,0.127101098
5.513513514,4,1,0.162597774,0.146370022,0.128859702
5.837837838,4,1,0.165985791,0.14802424,0.126802237
6.162162162,4,1,0.16604087,0.149360661,0.131774872
6.486486486,4,1,0.169739541,0.151724184,0.134735744
6.810810811,4,1,0.17272204,0.153182307,0.137975581
7.135135135,4,1,0.176523828,0.158248354,0.142464091
7.459459459,4,1,0.180351811,0.156569411,0.14098478
7.783783784,4,1,0.179120657,0.155480159,0.145808121
8.108108108,4,1,0.184807384,0.157679698,0.14854983
8.432432432,4,1,0.190843986,0.159094232,0.149863543
8.756756757,4,1,0.197197325,0.163580198,0.154487624
9.081081081,4,1,0.202349611,0.162293205,0.153197257
9.405405405,4,1,0.204050186,0.162448027,0.157928728
9.72972973,4,1,0.212866271,0.165047509,0.161415086
10.05405405,4,1,0.217622655,0.165953487,0.166182499
10.37837838,4,1,0.220522313,0.170866963,0.166748359
10.7027027,4,1,0.225968597,0.169800101,0.166607353
11.02702703,4,1,0.232117137,0.169443566,0.171221459
11.35135135,4,1,0.236827871,0.172719119,0.174241029
11.67567568,4,1,0.244999173,0.174123182,0.177109289
12,4,1,0.252326652,0.179247619,0.181533418
12.32432432,4,1,0.259760135,0.179984404,0.181093289
12.64864865,4,1,0.263507981,0.18033611,0.186458128
12.97297297,4,1,0.270619711,0.183614235,0.190017048
13.2972973,4,1,0.273494032,0.186281999,0.19331002
13.62162162,4,1,0.281408676,0.193246059,0.197767701
13.94594595,4,1,0.29026924,0.193454085,0.197435321
14.27027027,4,1,0.296399634,0.193822767,0.202819493
14.59459459,4,1,0.303449114,0.197707914,0.206421215
14.91891892,4,1,0.316064343,0.201620488,0.210863448
15.24324324,4,1,0.324999158,0.208649994,0.214870237
15.56756757,4,1,0.333108733,0.209138749,0.214872761
15.89189189,4,1,0.342800123,0.209692808,0.219499166
16.21621622,4,1,0.35148612,0.214708931,0.223311441
16.54054054,4,1,0.356534304,0.218777175,0.226834907
16.86486486,4,1,0.366177903,0.225201755,0.231111005
17.18918919,4,1,0.375854828,0.226690798,0.231060365
17.51351351,4,1,0.385548033,0.226545453,0.235942701
17.83783784,4,1,0.399750437,0.232185291,0.240025246
18.16216216,4,1,0.411296645,0.234472072,0.242577123
18.48648649,4,1,0.423534926,0.240966391,0.246183999
18.81081081,4,1,0.439547886,0.242391379,0.246592195
19.13513514,4,1,0.44980402,0.242140917,0.250556549
19.45945946,4,1,0.453563101,0.246961441,0.253878453
19.78378378,4,1,0.463117161,0.250267665,0.255929599
20.10810811,4,1,0.481930327,0.256622461,0.260242531
20.43243243,4,1,0.500457877,0.258945055,0.261436892
20.75675676,4,1,0.517107071,0.259121881,0.263954233
21.08108108,4,1,0.531312842,0.265145755,0.267520676
21.40540541,4,1,0.547769887,0.268858442,0.270346886
21.72972973,4,1,0.559016631,0.275002076,0.274213676
22.05405405,4,1,0.561708387,0.277617151,0.274656425
22.37837838,4,1,0.549836897,0.278144906,0.2782641
22.7027027,4,1,0.544934667,0.284244118,0.281405816
23.02702703,4,1,0.55668987,0.287260862,0.284670706
23.35135135,4,1,0.570268649,0.293549673,0.28785791
23.67567568,4,1,0.581009014,0.295567349,0.287253025
24,4,1,0.586829653,0.296623018,0.291728771
0,5,1,0.013692416,0.008725654,0.007654329
0.324324324,5,1,0.013893401,0.013861641,0.010646966
0.648648649,5,1,0.022259079,0.018923922,0.015235053
0.972972973,5,1,0.037008107,0.028763034,0.027137505
1.297297297,5,1,0.059486523,0.044225154,0.039337214
1.621621622,5,1,0.08441261,0.063930826,0.060713505
1.945945946,5,1,0.105655982,0.086682003,0.083623682
2.27027027,5,1,0.13011981,0.105544875,0.10428556
2.594594595,5,1,0.139056558,0.119922593,0.123371287
2.918918919,5,1,0.14286289,0.128853964,0.132243133
3.243243243,5,1,0.143661507,0.130214695,0.137023502
3.567567568,5,1,0.143345972,0.134541401,0.140381308
3.891891892,5,1,0.146355516,0.137092492,0.143714433
4.216216216,5,1,0.148563005,0.139193616,0.148427868
4.540540541,5,1,0.155142889,0.141336624,0.147350113
4.864864865,5,1,0.154365416,0.140306435,0.148456317
5.189189189,5,1,0.15430691,0.143981379,0.151591913
5.513513514,5,1,0.157143071,0.146868067,0.15376637
5.837837838,5,1,0.15819658,0.150682241,0.158117632
6.162162162,5,1,0.161122224,0.155590467,0.158089758
6.486486486,5,1,0.16116734,0.153143215,0.160974083
6.810810811,5,1,0.160685661,0.156483011,0.164141429
7.135135135,5,1,0.164395892,0.158681901,0.167647623
7.459459459,5,1,0.165897199,0.159952789,0.173387026
7.783783784,5,1,0.17018004,0.161534487,0.173208342
8.108108108,5,1,0.170481554,0.159782741,0.175257042
8.432432432,5,1,0.170167009,0.163244932,0.178192504
8.756756757,5,1,0.174714499,0.165366326,0.181487097
9.081081081,5,1,0.176432104,0.167981943,0.18545432
9.405405405,5,1,0.178421214,0.169579532,0.186133146
9.72972973,5,1,0.183061447,0.168471881,0.189430556
10.05405405,5,1,0.182926288,0.172258307,0.192032113
10.37837838,5,1,0.183719794,0.174356565,0.194197079
10.7027027,5,1,0.186899004,0.176981359,0.199196016
11.02702703,5,1,0.189910386,0.180092078,0.200877916
11.35135135,5,1,0.194877764,0.180135311,0.203943476
11.67567568,5,1,0.195349315,0.183137828,0.207043775
12,5,1,0.199238302,0.186817493,0.210736317
12.32432432,5,1,0.204864063,0.189898816,0.216852009
12.64864865,5,1,0.205653565,0.193517413,0.217519859
12.97297297,5,1,0.212986135,0.193421597,0.220511508
13.2972973,5,1,0.209780177,0.196872294,0.223635051
13.62162162,5,1,0.217246347,0.200936092,0.228068224
13.94594595,5,1,0.224540346,0.204508534,0.234094698
14.27027027,5,1,0.23129706,0.207550166,0.235999621
14.59459459,5,1,0.234305502,0.208055521,0.238437951
14.91891892,5,1,0.237189997,0.213841752,0.242820202
15.24324324,5,1,0.244419609,0.21792882,0.246790298
15.56756757,5,1,0.244270738,0.221614198,0.250970885
15.89189189,5,1,0.252439997,0.225053768,0.252648349
16.21621622,5,1,0.255877413,0.227568068,0.254723379
16.54054054,5,1,0.259399907,0.232197964,0.259076761
16.86486486,5,1,0.268847898,0.236441418,0.263083293
17.18918919,5,1,0.2743222,0.239667992,0.268376914
17.51351351,5,1,0.276222679,0.24225993,0.267438272
17.83783784,5,1,0.288457906,0.244360017,0.270729596
18.16216216,5,1,0.290264854,0.248090867,0.273524206
18.48648649,5,1,0.298868762,0.252034417,0.277043397
18.81081081,5,1,0.308625436,0.255869762,0.282254876
19.13513514,5,1,0.311396312,0.25913017,0.282235039
19.45945946,5,1,0.318222807,0.262342271,0.283775261
19.78378378,5,1,0.329322941,0.264958842,0.28744112
20.10810811,5,1,0.34204722,0.269476779,0.29071985
20.43243243,5,1,0.354459445,0.273732505,0.295928964
20.75675676,5,1,0.357108125,0.277989146,0.295499335
21.08108108,5,1,0.366099559,0.280430983,0.296572633
21.40540541,5,1,0.373239679,0.28389334,0.300628333
21.72972973,5,1,0.379245278,0.287070194,0.302953824
22.05405405,5,1,0.388052126,0.291173055,0.307752415
22.37837838,5,1,0.400361467,0.294796005,0.307811176
22.7027027,5,1,0.413639998,0.297624084,0.309683387
23.02702703,5,1,0.41344245,0.301306355,0.31238243
23.35135135,5,1,0.418653296,0.305505172,0.315312338
23.67567568,5,1,0.421731407,0.309161763,0.320430932
24,5,1,0.436024141,0.313112707,0.32009087
0,6,1,0.014344167,0.016808074,0.00723081
0.324324324,6,1,0.014413385,0.015605814,0.00533509
0.648648649,6,1,0.020950877,0.019220226,0.012873634
0.972972973,6,1,0.036666896,0.029688554,0.021380328
1.297297297,6,1,0.056692734,0.044930636,0.036339803
